width_sigma_nm,yield_overall,yield_ER,yield_IL,ER_mean,ER_std,IL_mean,IL_std,Cpk_ER,Cpk_IL
8.0,84.9,88.05,95.6,36.83605980625812,6.518903610738333,0.6144536311603093,0.2023628272976658,0.34955058981581655,0.6350744254568897
10.0,81.95,87.1,93.35,36.77795552992855,6.538694106333506,0.6490868890854181,0.21578918592171542,0.3455305406912617,0.5420616258961297
12.0,79.1,85.9,90.35,36.66264011000893,6.670823787792249,0.6837975712444038,0.22975226478586155,0.33292440443920907,0.45875852272201356
14.999999999999998,74.55,86.05,84.45,36.5413298261625,6.565323818854512,0.7358321331553207,0.2514264627855846,0.3321151150420993,0.35022548795902536
18.0,70.1,86.55,78.6,36.461714729374336,6.685186993239175,0.7878709749930605,0.27379745471344485,0.3221906749907998,0.25825541393844437
20.0,64.2,83.45,73.85,36.002919707195424,6.494542678420455,0.8225511405669585,0.2890350208887415,0.3081007139086916,0.20464516593573046
22.0,60.9,82.7,70.2,35.86718047492183,6.210070689807514,0.8571339275659668,0.3044192022637311,0.3149282709750544,0.15643567748206885
25.0,56.1,81.9,63.5,35.535736112604525,6.431885051671067,0.9090798379408416,0.328047427919499,0.28689029048937403,0.09238518002897814
29.999999999999996,48.15,79.2,55.1,35.07623083931988,6.430675231650488,0.9956182851217971,0.3678123126146678,0.2631258593361856,0.003970969910400438
